gemeinde;ja;nein;beteiligung
Luzern ;9412;17083;50.89% 
Adligenswil ;719;1680;63.49% 
Buchrain ;586;1518;54.83% 
Dierikon ;146;347;51.27% 
Ebikon ;1222;2841;49.84% 
Gisikon ;106;307;55.15% 
Greppen ;113;375;75.61% 
Honau ;40;108;58.37% 
Horw ;1648;4124;62.45% 
Kriens ;3201;6807;54.82% 
Malters ;720;1810;52.30% 
Meggen ;650;2482;64.96% 
Meierskappel ;125;355;54.19% 
Root ;342;954;47.20% 
Schwarzenberg ;190;471;53.75% 
Udligenswil ;258;691;62.39% 
Vitznau ;167;313;60.00% 
Weggis ;441;1305;62.37% 
Aesch ;104;308;56.55% 
Altwis ;50;91;51.26% 
Ballwil ;232;837;59.09% 
Emmen ;2684;5046;47.78% 
Ermensee ;71;262;56.28% 
Eschenbach ;384;1147;61.93% 
Hitzkirch ;505;1256;53.63% 
Hochdorf ;825;2303;54.46% 
Hohenrain ;281;727;58.23% 
Inwil ;210;700;55.82% 
Rain ;206;832;57.90% 
Römerswil ;141;483;52.57% 
Rothenburg ;824;2319;61.06% 
Schongau ;117;241;52.91% 
Beromünster ;646;1658;56.37% 
Büron ;179;495;52.00% 
Buttisholz ;293;900;56.95% 
Eich ;143;623;59.66% 
Geuensee ;268;512;49.13% 
Grosswangen ;263;838;53.54% 
Hildisrieden ;210;695;62.16% 
Knutwil ;208;559;54.89% 
Mauensee ;152;328;54.68% 
Neuenkirch ;630;1741;54.48% 
Nottwil ;384;924;56.87% 
Oberkirch ;439;1076;58.21% 
Rickenbach ;209;812;52.46% 
Ruswil ;712;1901;53.71% 
Schenkon ;258;994;60.84% 
Schlierbach ;71;225;58.69% 
Sempach ;402;1403;62.16% 
Sursee ;1091;2401;55.35% 
Triengen ;418;1049;54.51% 
Alberswil ;61;134;48.66% 
Altbüron ;108;229;48.54% 
Altishofen ;121;390;51.79% 
Dagmersellen ;461;1391;54.22% 
Ebersecken ;43;113;56.06% 
Egolzwil ;152;376;54.15% 
Ettiswil ;226;706;51.91% 
Fischbach ;88;145;50.00% 
Gettnau ;65;221;42.21% 
Grossdietwil ;94;199;48.44% 
Hergiswil ;213;463;50.63% 
Luthern ;142;318;47.64% 
Menznau ;255;702;48.66% 
Nebikon ;179;580;51.80% 
Pfaffnau ;254;508;47.61% 
Reiden ;633;1521;50.99% 
Roggliswil ;82;153;48.19% 
Schötz ;294;929;48.38% 
Ufhusen ;132;292;68.61% 
Wauwil ;161;414;52.50% 
Wikon ;165;339;51.11% 
Willisau ;869;2196;55.74% 
Zell ;180;447;45.55% 
Doppleschwand ;65;215;54.14% 
Entlebuch ;366;1002;56.17% 
Escholzmatt-Marbach ;578;1092;52.35% 
Flühli ;175;602;64.99% 
Hasle ;166;528;55.40% 
Romoos ;90;191;56.23% 
Schüpfheim ;521;1209;58.77% 
Werthenstein ;224;475;52.86% 
Wolhusen ;410;1063;52.64% 
